record,record_len,record_days,missing_frac,condition,horizon,seed,n_gaps_requested,n_gaps_placed,gap_len,actual_missing_pct,skill_honest,skill_naive,bias,n_test
HKZA,7166,49.8,0.1,FEW-LONG,1,5,4,4,144,8.04,-8.357,-9.355,-0.998,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,6,4,4,144,8.04,-7.195,-7.29,-0.095,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,7,4,4,144,8.04,-10.169,-10.107,0.062,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,8,4,4,144,8.04,-8.03,-7.532,0.498,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,9,4,4,144,8.04,-8.775,-10.086,-1.311,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,10,4,4,144,8.04,-7.688,-7.101,0.587,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,11,4,4,144,8.04,-8.327,-8.956,-0.629,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,12,4,4,144,8.04,-8.794,-9.525,-0.731,1566
HKZA,7166,49.8,0.1,FEW-LONG,1,13,4,4,144,8.04,-35.102,-11.158,23.945,1559
HKZA,7166,49.8,0.1,FEW-LONG,1,14,4,4,144,8.04,-7.21,-6.804,0.407,1559
HKZA,7166,49.8,0.1,FEW-LONG,3,0,4,4,144,8.04,-8.363,-9.177,-0.814,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,1,4,4,144,8.04,-10.316,-12.757,-2.441,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,2,4,4,144,8.04,-7.678,-7.096,0.582,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,3,4,4,144,8.04,-10.364,-7.446,2.918,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,4,4,4,144,8.04,-8.221,-4.13,4.091,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,5,4,4,144,8.04,-10.117,-10.631,-0.514,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,6,4,4,144,8.04,-7.505,-7.293,0.212,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,7,4,4,144,8.04,-10.755,-10.231,0.525,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,8,4,4,144,8.04,-8.495,-7.528,0.967,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,9,4,4,144,8.04,-8.943,-4.56,4.383,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,10,4,4,144,8.04,-5.461,-4.24,1.221,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,11,4,4,144,8.04,-7.717,-9.271,-1.554,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,12,4,4,144,8.04,-5.583,-7.342,-1.759,1562
HKZA,7166,49.8,0.1,FEW-LONG,3,13,4,4,144,8.04,-22.421,-9.541,12.88,1554
HKZA,7166,49.8,0.1,FEW-LONG,3,14,4,4,144,8.04,-9.825,-8.128,1.697,1554
HKZA,7166,49.8,0.2,MEDIUM,1,0,79,79,18,19.84,-20.494,-8.357,12.136,589
HKZA,7166,49.8,0.2,MEDIUM,1,1,79,79,18,19.84,-26.244,-10.032,16.211,594
HKZA,7166,49.8,0.2,MEDIUM,1,2,79,79,18,19.84,-31.984,-5.883,26.101,567
HKZA,7166,49.8,0.2,MEDIUM,1,3,79,79,18,19.84,-18.588,-15.349,3.24,612
HKZA,7166,49.8,0.2,MEDIUM,1,4,79,79,18,19.84,-29.688,-9.514,20.174,544
HKZA,7166,49.8,0.2,MEDIUM,1,5,79,79,18,19.84,-10.034,-8.728,1.307,632
HKZA,7166,49.8,0.2,MEDIUM,1,6,79,79,18,19.84,-20.811,-11.517,9.293,622
HKZA,7166,49.8,0.2,MEDIUM,1,7,79,79,18,19.84,-11.213,-8.838,2.376,606
HKZA,7166,49.8,0.2,MEDIUM,1,8,79,79,18,19.84,-17.971,-7.95,10.021,622
HKZA,7166,49.8,0.2,MEDIUM,1,9,79,79,18,19.84,-101.722,-8.855,92.866,638
HKZA,7166,49.8,0.2,MEDIUM,1,10,79,79,18,19.84,-14.508,-9.273,5.235,627
HKZA,7166,49.8,0.2,MEDIUM,1,11,79,79,18,19.84,-24.369,-9.293,15.076,576
HKZA,7166,49.8,0.2,MEDIUM,1,12,79,79,18,19.84,-55.487,-9.115,46.372,570
HKZA,7166,49.8,0.2,MEDIUM,1,13,79,79,18,19.84,-87.543,-14.669,72.874,586
HKZA,7166,49.8,0.2,MEDIUM,1,14,79,79,18,19.84,-36.684,-7.186,29.499,620
HKZA,7166,49.8,0.2,MEDIUM,3,0,79,79,18,19.84,-27.31,-10.621,16.689,570
HKZA,7166,49.8,0.2,MEDIUM,3,1,79,79,18,19.84,-25.272,-9.464,15.809,575
HKZA,7166,49.8,0.2,MEDIUM,3,2,79,79,18,19.84,-19.479,-6.503,12.977,549
HKZA,7166,49.8,0.2,MEDIUM,3,3,79,79,18,19.84,-23.274,-18.852,4.422,593
HKZA,7166,49.8,0.2,MEDIUM,3,4,79,79,18,19.84,-23.364,-12.634,10.73,523
HKZA,7166,49.8,0.2,MEDIUM,3,5,79,79,18,19.84,-12.596,-10.179,2.417,614
HKZA,7166,49.8,0.2,MEDIUM,3,6,79,79,18,19.84,-21.739,-15.769,5.969,604
HKZA,7166,49.8,0.2,MEDIUM,3,7,79,79,18,19.84,-15.901,-12.967,2.934,588
HKZA,7166,49.8,0.2,MEDIUM,3,8,79,79,18,19.84,-15.849,-9.59,6.259,605
HKZA,7166,49.8,0.2,MEDIUM,3,9,79,79,18,19.84,-101.506,-9.292,92.214,619
HKZA,7166,49.8,0.2,MEDIUM,3,10,79,79,18,19.84,-25.288,-15.985,9.303,609
HKZA,7166,49.8,0.2,MEDIUM,3,11,79,79,18,19.84,-34.682,-12.151,22.531,555
HKZA,7166,49.8,0.2,MEDIUM,3,12,79,79,18,19.84,-19.228,-11.27,7.958,553
HKZA,7166,49.8,0.2,MEDIUM,3,13,79,79,18,19.84,-59.645,-10.054,49.591,565
HKZA,7166,49.8,0.2,MEDIUM,3,14,79,79,18,19.84,-30.173,-7.388,22.784,604
HKZA,7166,49.8,0.2,FEW-LONG,1,0,9,9,144,18.09,-9.058,-7.93,1.128,1313
HKZA,7166,49.8,0.2,FEW-LONG,1,1,9,9,144,18.09,-10.279,-10.869,-0.591,1302
HKZA,7166,49.8,0.2,FEW-LONG,1,2,9,9,144,18.09,-11.263,-9.022,2.242,1315
HKZA,7166,49.8,0.2,FEW-LONG,1,3,9,9,144,18.09,-8.243,-8.924,-0.68,1302
HKZA,7166,49.8,0.2,FEW-LONG,1,4,9,9,144,18.09,-9.502,-7.55,1.952,1302
HKZA,7166,49.8,0.2,FEW-LONG,1,5,9,9,144,18.09,-10.781,-12.217,-1.436,1302
HKZA,7166,49.8,0.2,FEW-LONG,1,6,9,9,144,18.09,-7.985,-6.362,1.622,1321
HKZA,7166,49.8,0.2,FEW-LONG,1,7,9,9,144,18.09,-35.39,-12.502,22.888,1302
HKZA,7166,49.8,0.2,FEW-LONG,1,8,9,9,144,18.09,-11.031,-8.707,2.324,1302
HKZA,7166,49.8,0.2,FEW-LONG,1,9,9,9,144,18.09,-12.853,-10.6,2.253,1312
HKZA,7166,49.8,0.2,FEW-LONG,1,10,9,9,144,18.09,-11.214,-9.236,1.977,1302
HKZA,7166,49.8,0.2,FEW-LONG,1,11,9,9,144,18.09,-13.161,-10.601,2.56,1302
HKZA,7166,49.8,0.2,FEW-LONG,1,12,9,9,144,18.09,-10.327,-10.865,-0.539,1310
HKZA,7166,49.8,0.2,FEW-LONG,1,13,9,9,144,18.09,-92.72,-32.819,59.901,1302
HKZA,7166,49.8,0.2,FEW-LONG,1,14,9,9,144,18.09,-9.278,-17.769,-8.491,1319
HKZA,7166,49.8,0.2,FEW-LONG,3,0,9,9,144,18.09,-9.862,-8.277,1.585,1307
HKZA,7166,49.8,0.2,FEW-LONG,3,1,9,9,144,18.09,-11.43,-16.71,-5.28,1295
HKZA,7166,49.8,0.2,FEW-LONG,3,2,9,9,144,18.09,-15.794,-12.654,3.14,1308
HKZA,7166,49.8,0.2,FEW-LONG,3,3,9,9,144,18.09,-7.832,-13.312,-5.479,1295
HKZA,7166,49.8,0.2,FEW-LONG,3,4,9,9,144,18.09,-6.321,-7.928,-1.607,1295
HKZA,7166,49.8,0.2,FEW-LONG,3,5,9,9,144,18.09,-13.766,-12.494,1.272,1295
HKZA,7166,49.8,0.2,FEW-LONG,3,6,9,9,144,18.09,-9.537,-7.065,2.472,1315
HKZA,7166,49.8,0.2,FEW-LONG,3,7,9,9,144,18.09,-21.887,-10.614,11.272,1295
HKZA,7166,49.8,0.2,FEW-LONG,3,8,9,9,144,18.09,-6.727,-9.545,-2.818,1295
HKZA,7166,49.8,0.2,FEW-LONG,3,9,9,9,144,18.09,-8.821,-8.983,-0.161,1306
HKZA,7166,49.8,0.2,FEW-LONG,3,10,9,9,144,18.09,-9.168,-15.105,-5.937,1295
HKZA,7166,49.8,0.2,FEW-LONG,3,11,9,9,144,18.09,-14.717,-12.335,2.383,1295
HKZA,7166,49.8,0.2,FEW-LONG,3,12,9,9,144,18.09,-11.359,-16.146,-4.787,1304
HKZA,7166,49.8,0.2,FEW-LONG,3,13,9,9,144,18.09,-56.222,-22.763,33.46,1296
HKZA,7166,49.8,0.2,FEW-LONG,3,14,9,9,144,18.09,-10.855,-18.897,-8.043,1313
HKWB,4459,31.0,0.05,MANY-SHORT,1,0,74,74,3,4.98,-6.94,-10.338,-3.397,357
HKWB,4459,31.0,0.05,MANY-SHORT,1,1,74,74,3,4.98,-175.625,-4.745,170.88,388
HKWB,4459,31.0,0.05,MANY-SHORT,1,2,74,74,3,4.98,-302.002,-7.161,294.841,318
HKWB,4459,31.0,0.05,MANY-SHORT,1,3,74,74,3,4.98,-222.514,-12.89,209.624,338
HKWB,4459,31.0,0.05,MANY-SHORT,1,4,74,74,3,4.98,-8.277,-9.68,-1.403,351
HKWB,4459,31.0,0.05,MANY-SHORT,1,5,74,74,3,4.98,-116.98,-11.899,105.08,330
HKWB,4459,31.0,0.05,MANY-SHORT,1,6,74,74,3,4.98,-519.491,-7.412,512.079,383
HKWB,4459,31.0,0.05,MANY-SHORT,1,7,74,74,3,4.98,-44.356,-11.73,32.626,370
HKWB,4459,31.0,0.05,MANY-SHORT,1,8,74,74,3,4.98,-144.886,-4.303,140.583,393
HKWB,4459,31.0,0.05,MANY-SHORT,1,9,74,74,3,4.98,-58.93,-12.814,46.116,405
