record,horizon,d,n,rmse_pers,rmse_model,rmse_pers_far,rmse_model_far,pers_inflation,model_inflation,frac_displaced,median_gap_before
HKN,1,8,118,0.91525030845045,0.8989553629917925,0.8570677162786691,0.8448731457027978,1.067885642017186,1.0640122337466495,0.01694915254237288,1.0
HKN,1,9,116,0.7298783909099112,0.6856492131097331,0.8570677162786691,0.8448731457027978,0.8515994442994477,0.8115410184322807,0.02586206896551724,1.0
HKN,1,10,113,1.1741565943112537,1.1570245306903109,0.8570677162786691,0.8448731457027978,1.3699694575002352,1.3694653884730277,0.061946902654867256,1.0
HKN,1,11,106,1.0278591095362262,1.0450631671521184,0.8570677162786691,0.8448731457027978,1.1992740946994502,1.236946839259277,0.02830188679245283,1.0
HKN,1,12,103,0.7510557682291584,0.762365677295543,0.8570677162786691,0.8448731457027978,0.8763085506127714,0.9023433650046696,0.02912621359223301,1.0
HKN,3,1,234,1.3349164031574425,1.3404427757450275,1.2932795959595393,1.267201357991329,1.032194745303324,1.0577977740410531,0.34615384615384615,1.0
HKN,3,2,184,1.4016302329011774,1.34216695012571,1.2932795959595393,1.267201357991329,1.0837797466844346,1.059158389991951,0.22282608695652173,1.0
HKN,3,3,164,1.2669985393758305,1.2317346198697248,1.2932795959595393,1.267201357991329,0.9796787510869142,0.9720117581172549,0.18902439024390244,1.0
HKN,3,4,153,1.2476131014783358,1.2377346992181,1.2932795959595393,1.267201357991329,0.9646893876437279,0.9767466641450437,0.1830065359477124,1.0
HKN,3,5,142,1.6357821577476732,1.5710623134589423,1.2932795959595393,1.267201357991329,1.2648325720580293,1.2397890071308562,0.16901408450704225,1.0
HKN,3,6,132,1.3274205705849678,1.322477387746826,1.2932795959595393,1.267201357991329,1.0263987576484557,1.0436205575435276,0.12121212121212122,1.0
HKN,3,7,125,1.1823255084789468,1.1492966233805582,1.2932795959595393,1.267201357991329,0.9142071924530202,0.906956590704997,0.096,1.0
HKN,3,8,118,1.3727858598299856,1.287844142939218,1.2932795959595393,1.267201357991329,1.0614764696812966,1.016290059048398,0.1016949152542373,1.0
HKN,3,9,116,1.7729612478017946,1.6988272274707539,1.2932795959595393,1.267201357991329,1.3709032859877133,1.340613484003525,0.11206896551724138,1.0
HKN,3,10,113,1.7588352692690632,1.7163025872399904,1.2932795959595393,1.267201357991329,1.359980683808831,1.3544039993458832,0.11504424778761062,1.0
HKN,3,11,106,1.3867406574206285,1.450975748729287,1.2932795959595393,1.267201357991329,1.072266709962084,1.1450238271755508,0.0660377358490566,1.0
HKN,3,12,103,1.3934414580768646,1.4029309170610125,1.2932795959595393,1.267201357991329,1.0774479566756103,1.1071097014012292,0.038834951456310676,1.0
HKN,6,1,234,1.725327020903524,1.7302062673197351,1.6481690486949874,1.6177670201167438,1.0468143557662548,1.0695027440940645,0.4658119658119658,1.0
HKN,6,2,183,1.8960343760573688,1.8163850861372164,1.6481690486949874,1.6177670201167438,1.150388291515752,1.1227729725916527,0.3551912568306011,1.0
HKN,6,3,163,1.989439844706424,1.9208455957937598,1.6481690486949874,1.6177670201167438,1.2070605538197998,1.1873437719450757,0.2883435582822086,1.0
HKN,6,4,152,1.8025798416509367,1.7275643940259433,1.6481690486949874,1.6177670201167438,1.0936862593544097,1.0678697071604761,0.2565789473684211,1.0
HKN,6,5,142,1.7437458041748701,1.6587643796958302,1.6481690486949874,1.6177670201167438,1.0579896555851234,1.0253419429802246,0.2535211267605634,1.0
HKN,6,6,132,1.742474172670643,1.7313990334631761,1.6481690486949874,1.6177670201167438,1.0572181136700303,1.070240035761288,0.2196969696969697,1.0
HKN,6,7,125,1.8831780330069696,1.8463988412002694,1.6481690486949874,1.6177670201167438,1.1425879126282958,1.1413255544466636,0.2,1.0
