record,horizon,d,n,rmse_pers,rmse_model,rmse_pers_far,rmse_model_far,pers_inflation,model_inflation,frac_displaced,median_gap_before
HKWA,3,10,23,0.9406839556130562,0.9217269113386617,1.077588714789428,1.0697356690946858,0.8729526791646807,0.8616398779323836,0.08695652173913043,1.0
HKWA,3,11,21,1.071252315661219,1.0045139795985278,1.077588714789428,1.0697356690946858,0.9941198352940739,0.9390300881045176,0.0,1.0
HKWA,3,12,21,1.2306413542771681,1.227373635177437,1.077588714789428,1.0697356690946858,1.1420325188888492,1.147361605896679,0.0,1.0
HKWA,6,1,43,1.515508871480099,1.4360322498871014,1.4228178464548131,1.4058887971820007,1.0651460938982744,1.021440851342952,0.4186046511627907,1.0
HKWA,6,2,37,1.5919935318352914,1.3966848556927784,1.4228178464548131,1.4058887971820007,1.1189018578885608,0.993453293384462,0.35135135135135137,1.0
HKWA,6,3,31,1.5433157434144733,1.404391825388693,1.4228178464548131,1.4058887971820007,1.0846896159335508,0.9989352132285937,0.22580645161290322,1.0
HKWA,6,4,29,1.5425772880653896,1.5347278186538449,1.4228178464548131,1.4058887971820007,1.0841706068763315,1.0916423985524975,0.20689655172413793,1.0
HKWA,6,5,26,1.7305138743248405,1.686707105474324,1.4228178464548131,1.4058887971820007,1.216258201031638,1.199744324625961,0.19230769230769232,1.0
HKWA,6,6,26,1.6553934693786665,1.6011569114672533,1.4228178464548131,1.4058887971820007,1.1634612775650475,1.1388930011226015,0.19230769230769232,1.0
HKWA,6,7,25,1.5689855193723108,1.6231329338118887,1.4228178464548131,1.4058887971820007,1.1027311214022923,1.1545244098006455,0.16,1.0
