model,rmse_pers_honest,rmse_model_honest,rmse_pers_naive,rmse_model_naive,skill_honest,skill_naive,excess_honest,excess_naive,n_train_honest,n_test_honest,n_train_naive,n_test_naive,test_start,test_end,test_target_std,bias,rmse_bias,record,record_len,record_days,missing_frac,condition,horizon,replicate,origin,nominal_gap_len,n_gaps_placed,mean_gap_len,achieved_missing_pct,intact_rp,rp_h_over_intact
XGBoost,1.0072853450669053,1.014320998003612,0.8753853357782855,0.8981905093586996,-0.698476650252422,-2.605158282682285,0.0070356529367068266,0.022805173580414118,2498,595,2836,899,2024-01-09 02:40:00,2024-01-15 23:20:00,3.050184622914626,-1.906681632429863,0.01576952064370729,HKWA,4007,27.8,0.05,MEDIUM,1,28,3,18,11,18.2,4.991,0.6229,1.617
XGBoost,0.9540512267695184,0.9741538018828564,0.9475496430129801,0.9550593834281986,-2.1070750237811353,-0.7925432161358215,0.020102575113338017,0.007509740415218569,2406,709,2964,770,2024-01-10 12:00:00,2024-01-15 23:20:00,2.789826660858889,1.3145318076453139,-0.012592834698119448,HKWA,4007,27.8,0.05,MEDIUM,1,29,4,18,11,18.2,4.991,0.6229,1.532
Ridge,0.5511621938131178,0.5461025721755501,0.6104961220628379,0.6099884703189,0.9179914178372051,0.08315396701006339,-0.0050596216375676795,-0.0005076517439378536,2019,648,2253,930,2024-01-04 22:30:00,2024-01-11 21:20:00,2.7114116131045387,-0.8348374508271417,0.004551969893629826,HKWA,4007,27.8,0.05,MEDIUM,1,0,0,18,11,18.2,4.991,0.6229,0.885
Ridge,0.6303993305311054,0.612198714191119,0.6016603603756124,0.5878773161434053,2.8871566733188803,2.290834686799448,-0.018200616339986375,-0.013783044232207109,2029,728,2417,930,2024-01-06 07:50:00,2024-01-13 06:40:00,2.6577590444985075,-0.5963219865194325,0.004417572107779266,HKWA,4007,27.8,0.05,MEDIUM,1,1,1,18,11,18.2,4.991,0.6229,1.012
Ridge,0.5944010606089802,0.5819795161324588,0.6089050222218212,0.5944035049017297,2.089758127920438,2.3815729532295937,-0.01242154447652144,-0.014501517320091528,2058,844,2581,966,2024-01-07 17:10:00,2024-01-14 16:00:00,2.619261191576166,0.2918148253091557,-0.002079972843570088,HKWA,4007,27.8,0.05,MEDIUM,1,2,2,18,11,18.2,4.991,0.6229,0.954
Ridge,0.850168162693887,0.8207488968887916,0.850168162693887,0.8174643204339521,3.460405493411556,3.84674981903671,-0.02941926580509535,-0.032703842259934834,2086,988,2746,988,2024-01-09 02:40:00,2024-01-15 23:20:00,2.8357643413704796,0.3863443256251542,-0.003284576454839483,HKWA,4007,27.8,0.05,MEDIUM,1,3,3,18,11,18.2,4.991,0.6229,1.365
Ridge,0.9868958308516562,0.9446305180057507,0.9484338679432014,0.9104663810563258,4.282651879219312,4.003177044827899,-0.04226531284590551,-0.03796748688687557,2433,630,2982,752,2024-01-10 12:00:00,2024-01-15 23:20:00,3.0698281179808062,-0.2794748343914133,0.004297825959029944,HKWA,4007,27.8,0.05,MEDIUM,1,4,4,18,11,18.2,4.991,0.6229,1.584
Ridge,0.5829519522633806,0.5642096494738716,0.5750504974447017,0.5607103066221676,3.215068191596193,2.493727226783782,-0.018742302789508947,-0.014340190822534127,1727,843,2200,965,2024-01-04 22:30:00,2024-01-11 21:20:00,2.702243926906172,-0.7213409648124114,0.00440211196697482,HKWA,4007,27.8,0.05,MEDIUM,1,5,0,18,11,18.2,4.991,0.6229,0.936
Ridge,0.558470860302692,0.5529046220095903,0.6009641344945187,0.5906728670601762,0.9966926994337211,1.7124595035939438,-0.005566238293101655,-0.0102912674343425,2069,664,2435,917,2024-01-06 07:50:00,2024-01-13 06:40:00,2.794799928808008,0.7157668041602228,-0.004725029141240844,HKWA,4007,27.8,0.05,MEDIUM,1,6,1,18,11,18.2,4.991,0.6229,0.897
Ridge,0.6721066079871556,0.6575236466641812,0.6341905362502898,0.6197188437222458,2.16973931660156,2.281915560205161,-0.01458296132297443,-0.014471692528043922,2124,800,2582,965,2024-01-07 17:10:00,2024-01-14 16:00:00,2.77447888281633,0.11217624360360112,0.00011126879493050801,HKWA,4007,27.8,0.05,MEDIUM,1,7,2,18,11,18.2,4.991,0.6229,1.079
